commit type,deleted lines count
Other,14
Other,46
Other,9
Other,1
Other,2
Other,39
Other,12
Other,0
Other,4
Other,8
Other,5
Other,1
Other,16
Other,2
Other,31
Other,0
Other,1
Other,2
Other,5
Other,0
Other,2
Other,3
Other,8
Multi-lang,97
Other,3
Multi-lang,17
Multi-lang,136
Other,141
Other,2
Other,4
Other,2
Other,1
Multi-lang,23
Other,36
Other,1
Other,1
Other,53
Other,5
Other,2
Other,3
Other,2
Other,7
Other,15
Other,1
Other,20
Other,0
Other,6
Other,3
Other,2
Other,2
Other,6
Other,2
Other,7
Other,1
Other,0
Other,17
Other,1
Other,1
Other,26
Other,1
Other,32
Multi-lang,235
Other,10
Other,1
Other,18
Other,0
Other,2
Multi-lang,230
Other,18
Other,10
Other,48
Multi-lang,9
Other,1
Other,16
Other,0
Other,1
Other,15
Multi-lang,96
Other,5
Other,2
Other,2
Other,1
Other,2
Other,2
Other,0
Other,4
Other,3
Other,1
Other,88
Other,1
Other,7
Other,2
Other,2
Other,2
Multi-lang,36
Other,1
Other,13
Other,0
Other,3
Other,4
Other,1
Other,0
Other,1
Other,1
Other,3
Other,2
Other,40
Other,0
Other,1
Other,11
Other,1
Other,1
Other,1
Other,1
Other,2
Other,14
Other,2
Other,2
Other,1
Other,34
Other,1
Other,3
Other,1
Other,5
Other,4
Other,77
Other,10
Other,1
Other,2
Other,16
Other,1
Other,1
Other,2
Other,25
Other,7
Other,4
Other,15
Other,3
Other,9
Other,7
Other,17
Other,8
Other,2
Other,59
Other,15
Other,24
Other,17
Other,0
Other,110
Other,0
Other,22
Other,1
Other,0
Other,1
Other,20
Other,39
Other,2
Other,4
Other,2
Other,18
Other,1
Other,2
Other,38
Multi-lang,48
Other,1
Other,0
Other,10
Other,3
Other,1
Other,40
Other,2
Other,7
Other,1
Other,0
Other,0
Other,20
Other,0
Other,1
Other,4
Other,0
Other,0
Other,4
Other,8
Other,6
Other,0
Other,10
Other,1
Other,11
Other,10
Other,44
Other,20
Other,6
Other,5
Other,5
Other,11
Other,10
Other,7
Other,4
Other,3
Other,14
Other,1
Other,1
Other,2
Other,12
Other,142
